name;id;calories;proteins;fat;carbohydrate;serat;kalsium;fosfor;zat_besi;natrium;kalium;tembaga;seng;vitamin_a;provitamin_a;total_karotenoid;vitamin_b1;vitamin_b2;vitamin_b3;vitamin_c;bdd;url_image;indeks_glikemik;referensi_ig;status_pencocokan_ig;klasifikasi_ig
Susu Kental Tak Manis;1175;138;7;7.9;9.9;0;243;195;0.2;140;303;0;0;0;0;0;0.05;0;0;1;100;https://res.cloudinary.com/dk0z4ums3/image/upload/v1627294463/attached_image/menakar-jumlah-kalori-kental-manis.jpg;31;Atkinson et al. (2008);partial→susu;Rendah
Susu Kerbau;1176;160;6.3;12;7.1;0;275;209;0.6;188;320;0.02;1;0;54;0;0.05;0.3;0.4;1;100;https://img.okezone.com/content/2018/06/01/481/1905351/tak-kalah-dari-sapi-minum-susu-kerbau-bisa-turunkan-kolesterol-jahat-xdwHF7iYmc.jpeg;31;Atkinson et al. (2008);partial→susu;Rendah
Susu Sapi;1177;61;3.2;3.5;4.3;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://awsimages.detik.net.id/community/media/visual/2022/01/16/ciri-ciri-susu-sapi-segar-sudah-basi-1.jpeg?w=1200;31;Atkinson et al. (2008);exact;Rendah
Susu Skim (tak berlemak);1178;36;3.5;0.1;5.1;0;275;209;0.6;188;320;0.02;1;0;54;0;0.05;0.3;0.4;1;100;https://www.frieslandcampinainstitute.com/uploads/sites/23/2023/01/Bottle-and-glass-of-milk-1540x1540-1.jpg;31;Atkinson et al. (2008);partial→susu;Rendah
Susu skim bubuk;1179;359;35.6;1;52;0;337.5;440;0.6;225;775;0.04;2.5;0;10;0;0.35;0.3;1.2;7;100;https://nilaigizi.com/assets/images/produk/produk_1535867844.jpg;31;Atkinson et al. (2008);partial→susu;Rendah
Susu skim segar;1180;36;3.5;0.1;5.1;0;123;97;0.1;38;0;0;0;0;0;0;0.04;0;0;1;100;https://ceklist.id/wp-content/uploads/2023/02/Merk-Susu-Skim.jpg;31;Atkinson et al. (2008);partial→susu;Rendah
Susupan;1181;87;5.3;5.2;6.3;0;275;209;0.6;188;320;0.02;1;0;54;0;0.05;0.3;0.4;1;100;https://asset-a.grid.id/crop/0x0:0x0/700x465/photo/2021/08/09/plant-leaf-flower-green-botany-f-20210809091749.jpg;31;Atkinson et al. (2008);partial→susu;Rendah
Suweg kukus;1182;90;1.5;0.1;21.9;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://assets.kompasiana.com/items/album/2020/06/07/img-20200607-072648-5edcc27dd541df08575a4ac2.jpg;42;Hasan et al. (2011) dalam Arif et al. (2013);partial→suweg;Rendah
Suweg mentah;1183;69;1;0.1;15.7;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://cdn.idntimes.com/content-images/post/20210303/jimikanda1-75d34d7a3b793cc5fa6a26da69daca26_600x400.png;42;Hasan et al. (2011) dalam Arif et al. (2013);partial→suweg;Rendah
Suweg talas segar;1184;74;1.4;0.1;17.2;1.4;42;46;1.3;7;400;0.1;0.1;0;24;254;0.04;0;0.4;2;86;https://www.greeners.co/wp-content/uploads/2015/11/Flora_Suweg_Berbau_Namun_Tinggi_Serat.jpg;55;Trinidad et al. (2010);partial→talas;Sedang
Suwir-suwir;1185;347;0.5;0.9;84.2;0.8;42;40;4.3;0;0;0;0;0;0;240;0.13;0;0.9;0;100;https://inagi.co.id/wp-content/uploads/2023/03/Ayam-Suwir-Pedas-Awet.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Tahu;1186;68;7.8;4.6;1.6;2.4;133;220;4;6;69.2;0.27;1.2;0;0;0;0.18;0.07;0.7;0;100;https://asset.kompas.com/crops/uYkv1kqUtpcan5FRV1iCLgCWf40=/0x0:1000x667/750x500/data/photo/2021/07/19/60f51d62438f6.jpg;15;"Waspadji et al. (2003); Atkinson et al. (2008)";exact;Rendah
Tahu goreng;1187;115;9.7;8.5;2.5;0.1;229;200;4.1;7;68.2;0.09;1.3;0;0;0;0.01;0.24;0;0;100;https://img-global.cpcdn.com/recipes/33285f91f3b22e50/1200x630cq70/photo.jpg;15;"Waspadji et al. (2003); Atkinson et al. (2008)";partial→tahu;Rendah
Tahu telur;1188;328;12.6;19.9;24.6;0.4;337.5;238;4.9;225;0;0;0;0;0;278.75;0.42;0;0;0;100;https://resepkoki.id/wp-content/uploads/2021/09/Resep-Tahu-Telur.jpg;15;"Waspadji et al. (2003); Atkinson et al. (2008)";partial→tahu;Rendah
Takwa;1189;148;13.8;8.5;4;0;140;214;8.2;3;79;0.3;1.3;0;0;278.75;0.2;0.1;0.8;0;100;https://cdn.idntimes.com/content-images/community/2020/10/118291206-1002092246870647-2962160802061132133-n-1-5c6484eccc2b0af148d9d1c7e92d2417.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Talas bogor kukus;1190;120;1.5;0.3;28.2;0.7;31;63;0.7;11;498;0.2;0.6;0;0;0;0.05;0.3;0.8;2;100;https://img-global.cpcdn.com/recipes/efaf364743906d68/680x482cq70/urab-talas-bogor-kukus-foto-resep-utama.jpg;55;Trinidad et al. (2010);partial→talas;Sedang
Talas pontianak segar;1191;163;2.3;0.5;36.4;0.7;45;80;1.7;14;323.1;0.3;1;0;0;0;0.02;0.1;1.3;0;83;https://idnmedis.com/wp-content/uploads/2020/05/talas-pontianak.jpg;55;Trinidad et al. (2010);partial→talas;Sedang
Talas viqueque segar;1192;115;1.8;0.5;25.9;6.75;50;220;0.9;1;70;0.3;1;0;0;0;0.08;0.1;0.9;0;85;https://filebroker-cdn.lazada.co.id/kf/S36df2a3bd2044060b1b78bd604a0d0343.jpg;55;Trinidad et al. (2010);partial→talas;Sedang
